web-scraper-order,web-scraper-start-url,laptop_link,laptop_link-href,etat,marque,couleur,processeur ,RAM,stockage,prix
1737994372-345,https://www.expat-dakar.com/ordinateurs?page=62,"Dell XPS 15 i7 32go ram
                                NeufDell
                                                                                    Derkle,
                                                                                Dakar
                                    
                                        6. janv., 14:00
                                    
                    550 000 F Cfa
                        
                        779077949
                    
                        769455248",https://www.expat-dakar.com/annonce/dell-xps-15-i7-32go-ram-6194885,Neuf,Dell,Gris,Core i7,32.0,512.0,550 000 F Cfa
1737994375-346,https://www.expat-dakar.com/ordinateurs?page=62,"MacBook Pro m2 16/512
                                NeufApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        6. janv., 14:41
                                    
                    725 000 F Cfa
                        
                        776782323",https://www.expat-dakar.com/annonce/macbook-pro-m2-16512-6247560,Neuf,Apple,Gros,M2,16.0,512.0,725 000 F Cfa
1737994377-347,https://www.expat-dakar.com/ordinateurs?page=62,"14pouce M1PRO 16/512
                                NeufApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        6. janv., 14:41
                                    
                    775 000 F Cfa
                        
                        776782323",https://www.expat-dakar.com/annonce/14pouce-m1pro-16512-6247555,Neuf,Apple,Gros,M1PRO,16.0,512.0,775 000 F Cfa
1737994379-348,https://www.expat-dakar.com/ordinateurs?page=62,"MacBook Air m2 8/256
                                VenantApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        6. janv., 14:42
                                    
                    550 000 F Cfa
                        
                        776782323",https://www.expat-dakar.com/annonce/macbook-air-m2-8256-6244216,Venant,Apple,Midnight,M2,8.0,512.0,550 000 F Cfa
1737994382-349,https://www.expat-dakar.com/ordinateurs?page=62,"Xps 9345 snapdron 32/1tera
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        6. janv., 14:53
                                    
                    900 000 F Cfa
                        
                        776782323",https://www.expat-dakar.com/annonce/xps-9345-snapdron-321tera-6248670,Neuf,Dell,Black,X,32.0,1024.0,900 000 F Cfa
1737994384-350,https://www.expat-dakar.com/ordinateurs?page=62,"Ordinateur All in ONE i3-i5
                                VenantHP
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        6. janv., 15:23
                                    
                    150 000 F Cfa
                        
                        775398139",https://www.expat-dakar.com/annonce/ordinateur-all-in-one-i3-i5-2741383,Venant,HP,Gris,i5,4.0,500.0,150 000 F Cfa
1737994389-351,https://www.expat-dakar.com/ordinateurs?page=61,"MACBOOK AIR 2018
                                D'occasionApple
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        6. janv., 15:40
                                    
                    250 000 F Cfa
                        
                        784855454",https://www.expat-dakar.com/annonce/macbook-air-2018-6248711,D'occasion,Apple,GRIS SIDERAL,I5,8.0,512.0,250 000 F Cfa
1737994392-352,https://www.expat-dakar.com/ordinateurs?page=61,"MINI PC DELL , HP, LENOVO NEUF OU VENANT
                                NeufDell
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. janv., 16:43
                                    
                    60 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/mini-pc-dell-hp-lenovo-neuf-ou-venant-6248753,Neuf,Dell,NOIR,Intel 2.8GHZ,4.0,512.0,60 000 F Cfa
1737994394-353,https://www.expat-dakar.com/ordinateurs?page=61,"HP ELITE X2 1013 G3 CORE I5 et I7.13"" DETACHABLE TACTILE
                                RéconditionnéHP
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. janv., 17:47
                                    
                    225 000 F Cfa
                        
                        772684188
                    
                        773870030
                    
                        775789236",https://www.expat-dakar.com/annonce/hp-elite-x2-1013-g3-core-i5-et-i713-detachable-tactile-6248816,Réconditionné,HP,GRIS,CORE I5,8.0,512.0,225 000 F Cfa
1737994397-354,https://www.expat-dakar.com/ordinateurs?page=61,"DELL XPS 15 9500 
10th génération 
I7
Ram 16go
                                VenantDell
                                                                                    Hlm,
                                                                                Dakar
                                    
                                        6. janv., 19:32
                                    
                    450 000 F Cfa
                        
                        771510586",https://www.expat-dakar.com/annonce/dell-xps-15-9500-10th-generation-i7-ram-16go-6248878,Venant,Dell,Gris,I7,16.0,512.0,450 000 F Cfa
1737994399-355,https://www.expat-dakar.com/ordinateurs?page=61,"Mac book air m1 2020 SSD
                                VenantApple
                                                                                    Hlm,
                                                                                Dakar
                                    
                                        6. janv., 20:01
                                    
                    435 000 F Cfa
                        
                        771510586",https://www.expat-dakar.com/annonce/mac-book-air-m1-2020-ssd-6248886,Venant,Apple,Gris,M1,8.0,256.0,435 000 F Cfa
1737994402-356,https://www.expat-dakar.com/ordinateurs?page=61,"XPS 9345 32/1TERA SNAPDRAGON
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        6. janv., 21:33
                                    
                    900 000 F Cfa
                        
                        776782323",https://www.expat-dakar.com/annonce/xps-9345-321tera-snapdragon-6248927,Neuf,Dell,BLACK,X,32.0,512.0,900 000 F Cfa
1737994404-357,https://www.expat-dakar.com/ordinateurs?page=61,"🔥 PC GAMING ULTIME - BÊTE DE GUERRE SUR MESURE
                                NeufAutre
                                                                                    Gibraltar,
                                                                                Dakar
                                    
                                        9. janv., 15:20
                                    
                    450 000 F Cfa
                        
                        775398139",https://www.expat-dakar.com/annonce/pc-gaming-ultime-bete-de-guerre-sur-mesure-6248953,Neuf,Autre,Gris,i5/i7/i9,16.0,1024.0,450 000 F Cfa
1737994406-358,https://www.expat-dakar.com/ordinateurs?page=61,"Macbook Pro M1 sceller
                                NeufApple
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 01:14
                                    
                    430 000 F Cfa
                        
                        784651156
                    
                        784651156",https://www.expat-dakar.com/annonce/macbook-pro-m1-sceller-6248967,Neuf,Apple,Grise,M1,8.0,512.0,430 000 F Cfa
1737994409-359,https://www.expat-dakar.com/ordinateurs?page=61,"MACBOOK PRO | Dual core | 15''
                                VenantApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        7. janv., 05:34
                                    
                                            Vendeur vérifié
                                        
                    100 000 F Cfa
                        
                        778852222
                    
                        775126800
                    
                        771590000",https://www.expat-dakar.com/annonce/macbook-pro-dual-core-15-6240108,Venant,Apple,Gris,Dual core,4.0,256.0,100 000 F Cfa
1737994413-360,https://www.expat-dakar.com/ordinateurs?page=60,"DELL Latitude 5310 Cor i7 10ème Gén
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        7. janv., 09:35
                                    
                    250 000 F Cfa
                        
                        776088787",https://www.expat-dakar.com/annonce/dell-latitude-5310-cor-i7-10eme-gen-6241412,Neuf,Dell,GRISE,i7,16.0,512.0,250 000 F Cfa
1737994416-361,https://www.expat-dakar.com/ordinateurs?page=60,"Lenovo Thinkpad E15 Cor i7 10ème Gén
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        7. janv., 09:36
                                    
                    290 000 F Cfa
                        
                        776088787",https://www.expat-dakar.com/annonce/lenovo-thinkpad-e15-cor-i7-10eme-gen-6235893,Neuf,Lenovo,Grise,i7,16.0,512.0,290 000 F Cfa
1737994418-362,https://www.expat-dakar.com/ordinateurs?page=60,"Lenovo Thinkpad T14 Cor i5 10ème Gén
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        7. janv., 09:37
                                    
                    225 000 F Cfa
                        
                        776088787",https://www.expat-dakar.com/annonce/lenovo-thinkpad-t14-cor-i5-10eme-gen-6238381,Neuf,Lenovo,Noire,i5,16.0,512.0,225 000 F Cfa
1737994421-363,https://www.expat-dakar.com/ordinateurs?page=60,"Lenovo T480 core i5 8e génération 256ssd ram 8GB
                                VenantLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        7. janv., 10:20
                                    
                    210 000 F Cfa
                        
                        773352540",https://www.expat-dakar.com/annonce/lenovo-t480-core-i5-8e-generation-256ssd-ram-8gb-6249302,Venant,Lenovo,Noir,i5 2.5zht,8.0,512.0,210 000 F Cfa
