web-scraper-order,web-scraper-start-url,laptop_link,laptop_link-href,etat,marque,couleur,processeur ,RAM,stockage,prix
"1737994138-263","https://www.expat-dakar.com/ordinateurs?page=71","MACBOOK PRO TOUCH BAR
                                Neuf
                                                                                    Médina,
                                                                                Dakar
                                    
                                        30. déc. '24, 11:10
                                    
                    550 000 F Cfa
                        
                        774608085","https://www.expat-dakar.com/annonce/macbook-pro-touch-bar-6243587","Neuf","","","","16go","","550 000 F Cfa"
"1737994141-264","https://www.expat-dakar.com/ordinateurs?page=71","HP ZBOOK SILVER
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        30. déc. '24, 11:14
                                    
                    450 000 F Cfa
                        
                        774608085","https://www.expat-dakar.com/annonce/hp-zbook-silver-6241470","Neuf","HP","","","32go","","450 000 F Cfa"
"1737994143-265","https://www.expat-dakar.com/ordinateurs?page=71","IMAC 2015 CORE I5 21.5 POUCES
                                VenantApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        16. déc. '24, 12:18
                                    
                                            Vendeur vérifié
                                        
                    245 000 F Cfa
                        
                        770939191
                    
                        338420531","https://www.expat-dakar.com/annonce/imac-2015-core-i5-215-pouces-6077600","Venant","Apple","gris","CORE I5","8Go","1 TERA SATA","245 000 F Cfa"
"1737994146-266","https://www.expat-dakar.com/ordinateurs?page=71","HP core i7 7th ssd 256g ram 8g
                                VenantHP
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        30. déc. '24, 12:29
                                    
                    95 000 F Cfa
                        
                        776661568","https://www.expat-dakar.com/annonce/hp-core-i7-7th-ssd-256g-ram-8g-6244524","Venant","HP","","","","","95 000 F Cfa"
"1737994148-267","https://www.expat-dakar.com/ordinateurs?page=71","HP probook 450 g9 i7 12th 32go ram
                                NeufHP
                                                                                    Derkle,
                                                                                Dakar
                                    
                                        30. déc. '24, 15:27
                                    
                    490 000 F Cfa
                        
                        779077949
                    
                        769455248","https://www.expat-dakar.com/annonce/hp-probook-450-g9-i7-12th-32go-ram-6244665","Neuf","HP","Gris","Core i7","32go","512go","490 000 F Cfa"
"1737994150-268","https://www.expat-dakar.com/ordinateurs?page=71","✅Dell- i5.8th Gen- Ecran Tactile - 14 Pouces
                                VenantDell
                                                                                    Hlm,
                                                                                Dakar
                                    
                                        30. déc. '24, 15:48
                                    
                    200 000 F Cfa
                        
                        779665156
                    
                        775131165
                    
                        338247406","https://www.expat-dakar.com/annonce/dell-i58th-gen-ecran-tactile-14-pouces-6194858","Venant","Dell","NOIR  ✅","CORE i5 ✅","8 GO ✅","256 GO SSD ✅","200 000 F Cfa"
"1737994153-269","https://www.expat-dakar.com/ordinateurs?page=71","MSI Modern 15H - I9 13th | 32GB RAM | 1 Téra
                                VenantMSI
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        30. déc. '24, 15:53
                                    
                    600 000 F Cfa
                        
                        779096699
                    
                        775706666","https://www.expat-dakar.com/annonce/msi-modern-15h-i9-13th-32gb-ram-1-tera-6165454","Venant","MSI","Noir","I9 13th","32","1 Téra","600 000 F Cfa"
"1737994157-270","https://www.expat-dakar.com/ordinateurs?page=70","HP ProBook 460 G11 16"" - Intel Core Ultra 7
                                NeufHP
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        30. déc. '24, 16:03
                                    
                    650 000 F Cfa
                        
                        779096699
                    
                        775706666","https://www.expat-dakar.com/annonce/hp-probook-460-g11-16-intel-core-ultra-7-6235500","Neuf","HP","GRISS","ULTRA 7","16GB","512GB","650 000 F Cfa"
"1737994160-271","https://www.expat-dakar.com/ordinateurs?page=70","HP ELITEBOOK 630 G 9 2022
                                NeufHP
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        30. déc. '24, 16:13
                                    
                    325 000 F Cfa
                        
                        784043388","https://www.expat-dakar.com/annonce/hp-elitebook-630-g-9-2022-6244689","Neuf","HP","","","16go","","325 000 F Cfa"
"1737994162-272","https://www.expat-dakar.com/ordinateurs?page=70","HP PRODESK CORE i5
                                VenantHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        30. déc. '24, 16:13
                                    
                                            Vendeur vérifié
                                        
                    75 000 F Cfa
                        
                        778254000
                    
                        777779191
                    
                        338221257","https://www.expat-dakar.com/annonce/hp-prodesk-core-i5-5666863","Venant","HP","NOIR","cor i5","8 Go","500 Go","75 000 F Cfa"
